Gene	Ramos_19O2_NoCyclo_1	Ramos_1O2_NoCyclo_3	Ramos_1O2_NoCyclo_2	Ramos_19O2_NoCyclo_3	Ramos_1O2_NoCyclo_1	Ramos_1O2_PlusCyclo_1	Ramos_1O2_PlusCyclo_3	Ramos_1O2_PlusCyclo_2	Ramos_19O2_NoCyclo_2
RP11-34P13.18	0.395053348	0.402229393	0.123656379	0.359650757	0.350135097	0.448522905	0.267328903	0.255114961	0.190856941
AP006222.1	0.073818265	0.064793891	0	0.24943745	0.064579381	0	0	0.195439736	0.066464221
RP4-669L17.4	0.073818265	0.064793891	0.181724514	0.066517542	0.064579381	0	0	0.133189216	0.066464221
RP11-206L10.17	0.073818265	0.298280014	0.181724514	0.066517542	0.126391427	0.142979989	0.327079959	0.068131062	0.130000847
RP5-857K21.9	0.073818265	0.243354689	0.06315264	0.130102893	0	0.209484929	0.139847561	0.133189216	0.066464221
RP5-857K21.8	5.151536383	5.468297993	5.69576528	5.135968745	5.416352607	5.560879882	5.449573137	5.560152818	5.371737488
RP5-857K21.6	0.920274692	1.040202691	1.052354006	0.772128994	0.867137332	0.746048674	0.732596128	0.745889511	0.958243901
RP5-857K21.7	0.073818265	0.243354689	0.123656379	0.24943745	0.064579381	0.333948995	0.071617632	0.133189216	0.130000847
RP5-857K21.10	6.863496738	7.019670939	6.99179436	6.972356164	6.926901693	7.100894193	7.041075172	6.980099206	6.877103834
RP5-857K21.11	0.2750002	0.064793891	0.237545574	0.130102893	0.185663593	0.073260545	0.071617632	0.255114961	0.066464221
RP11-206L10.2	1.393666324	1.277390046	0.661477641	1.327657467	0.971869034	1.170054759	0.899333337	1.078765104	0.958243901
RP11-206L10.9	0.920274692	0.63340892	0.441451974	0.731706553	0.754203364	1.066211202	0.732596128	0.569079898	0.602759859
RP11-206L10.8	0.2750002	0.298280014	0.181724514	0.130102893	0	0.142979989	0.139847561	0.255114961	0.066464221
RP11-206L10.11	3.568908012	3.657832296	3.607220605	3.724774839	3.77892757	3.755103758	3.820765243	3.593821697	3.571797739
NCRNA00115	0.608795659	0.402229393	0.393113077	0.557639222	0.242596397	0.333948995	0.384454452	0.367534624	0.190856941
NOC2L	7.949335133	7.813073393	7.870879067	7.914225379	7.895391134	7.861707226	7.909029663	7.807832176	7.972750318
KLHL17	1.557016368	1.780134379	1.525740314	2.057087549	1.613578747	1.672585629	1.88651126	1.428956968	1.726923362
ISG15	2.517243128	2.320885727	2.316846663	2.404334918	2.221072722	2.325117527	2.298325355	2.32587276	2.254525638
AGRN	1.07208511	0.974269058	0.922141403	1.214873623	1.160958858	0.992582498	0.975991511	0.786902131	0.92280393
C1orf159	2.867862412	2.733368839	2.650778934	2.890890025	2.615265551	2.977483823	2.797975522	2.921559813	2.843236082
RP11-465B22.5	0.14404262	0.351190724	0.181724514	0.130102893	0.185663593	0.142979989	0	0	0.190856941
SDF4	6.540437768	6.401846817	6.397761856	6.489462684	6.422646025	6.626092209	6.642235339	6.539542251	6.38464904
B3GALT6	4.80924776	4.810238001	4.783171217	4.910084969	4.881427665	5.117003963	5.088753499	4.93065232	4.76376638
C1QTNF12	0.211006825	0	0.123656379	0	0.242596397	0.073260545	0.139847561	0.068131062	0.066464221
RP5-902P8.12	0.073818265	0.064793891	0	0.191003686	0.064579381	0	0	0.133189216	0
UBE2J2	5.965225995	6.100495407	5.924487146	6.054127991	6.003970882	6.115707404	6.085893375	6.098187132	5.980481725
RP5-902P8.10	0.073818265	0	0.06315264	0.066517542	0.064579381	0.142979989	0.071617632	0.068131062	0
SCNN1D	0.505879259	0.402229393	0.06315264	0.191003686	0.350135097	0.746048674	0.544039317	0	0.602759859
ACAP3	3.720242002	3.582385609	3.18572053	3.780329642	3.450783611	3.651266656	3.462861959	3.479633993	3.697705067
PUSL1	4.438587901	4.416125491	4.219558823	4.421659825	4.318527914	4.50603483	4.532257137	4.349891856	4.338855525
INTS11	6.352092755	6.173009343	6.176434303	6.258228418	6.270971698	6.160521931	6.1462284	6.011085716	6.21830252
RP5-890O3.9	0.750590499	0.716417685	0.533526401	0.647296543	0.792838665	0.746048674	0.687716609	0.569079898	0.646868678
CPTP	4.725839493	4.602249	4.455574808	4.666478088	4.643205024	4.819872182	4.763395311	4.737575562	4.681335174
TAS1R3	2.071217751	1.741018473	1.898991461	1.643100876	1.635002038	1.672585629	2.107062618	1.871715146	1.936903722
DVL1	4.781977312	4.805506062	4.467295805	4.939222585	4.632593874	4.827832677	4.865155376	4.477508449	4.686627433
AURKAIP1	6.40041355	6.254258129	6.216918884	6.333598268	6.256358465	6.323285399	6.32446335	6.15998312	6.286985094
CCNL2	6.077150708	6.035300956	5.609807763	6.228577284	5.870356752	6.086145121	6.003599614	5.801916148	5.990144749
RP4-758J18.2	4.421017332	4.265766519	4.133902822	4.323075118	4.278249391	4.36362694	4.473977934	4.23973045	4.280551365
MRPL20	6.999932673	7.021202317	6.988239482	7.042714699	6.963348268	6.981085313	7.01916593	7.006383726	7.075220491
RP4-758J18.13	2.01611	1.680281201	1.433151291	1.919899354	1.404946659	1.672585629	1.672858369	1.479869617	1.481088375
ATAD3C	1.0356037	1.103254278	0.62007541	1.124094415	0.754203364	1.101662745	0.593538749	0.826781007	0.958243901
ATAD3B	5.581387941	5.014712924	4.838370074	5.598990109	5.034361804	5.368734364	5.336005671	5.102944435	5.480855817
RP5-832C2.8	0.2750002	0.186255238	0.123656379	0.24943745	0	0.142979989	0.139847561	0.068131062	0.249249555
ATAD3A	6.873220414	6.729911166	6.590947722	6.814389014	6.681974501	6.851069493	6.821064095	6.710493573	6.73491782
TMEM240	0.073818265	0.243354689	0.123656379	0.191003686	0.126391427	0.073260545	0.139847561	0.195439736	0
SSU72	7.20685307	7.219209087	7.183846622	7.197750931	7.179235465	7.182833213	7.224586315	7.233367346	7.149921764
RP5-832C2.5	0.608795659	0.5453309	0.661477641	0.603164248	0.497760501	0.554663395	0.327079959	0.471823901	0.249249555
C1orf233	0.395053348	0.5453309	0.533526401	0.24943745	0.350135097	0.209484929	0.732596128	0.420621413	0.305370397
RP11-345P4.9	1.142391855	0.869349533	1.083150263	0.849726997	0.867137332	0.954309326	1.151510959	0.940201696	0.461714384
MIB2	2.703178069	2.553154846	2.250564054	2.796061979	2.206836926	2.507987133	2.440369715	2.50860557	2.584385358
CDK11B	5.732908793	5.814048155	5.595192662	5.690150083	5.688932772	5.651878609	5.639769662	5.596653585	5.71899995
RP11-345P4.10	0	0	0.123656379	0	0.064579381	0.073260545	0.071617632	0.068131062	0.066464221
SLC35E2B	5.704141623	5.70774622	5.479865471	5.562002934	5.66830119	5.707588218	5.717179223	5.596653585	5.568031016
CDK11A	0.794918948	1.072072908	0.816138446	0.993423197	1.354181265	1.029866509	0.938171522	0.745889511	1.184580952
RP1-283E3.8	0.998175799	0.63340892	0.955812826	0.923363423	0.754203364	0.874575284	0.818372192	0.976110041	0.731235738
RP1-283E3.4	0.073818265	0.064793891	0.123656379	0.130102893	0.064579381	0.142979989	0	0.068131062	0.066464221
SLC35E2	2.815029167	2.69294598	2.329745434	2.630043401	2.647245359	2.682021199	2.467174286	2.393822103	2.640004497
